Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"FID5","Fiducial","Fiducial_1mm_Mask2mm",98.895000,-3.126200,180.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask2mm",106.565000,-141.076200,180.000000,bottom
"FID7","Fiducial","Fiducial_1mm_Mask2mm",2.025000,-124.156200,180.000000,bottom
"FID8","Fiducial","Fiducial_1mm_Mask2mm",4.485000,-4.276200,180.000000,bottom
